iter	Logloss
0	0.6804996995
1	0.6695967767
2	0.658843185
3	0.6484450112
4	0.6383643401
5	0.6304064972
6	0.6211910995
7	0.6136678175
8	0.6050593695
9	0.598055435
10	0.5909887428
11	0.5838607217
12	0.5765990394
13	0.5707804931
14	0.5646554865
15	0.5596333312
16	0.5532539946
17	0.5478990869
18	0.5425323956
19	0.5372922783
20	0.532389298
21	0.5277362579
22	0.5231773538
23	0.518465593
24	0.5144976727
25	0.510509224
26	0.5067055652
27	0.5030960928
28	0.4998328846
29	0.4963803283
30	0.493212368
31	0.4900740693
32	0.4870008067
33	0.4840988321
34	0.4809576813
35	0.4782376661
36	0.4761830016
37	0.4734015802
38	0.4712700207
39	0.4689449344
40	0.4670685998
41	0.4651472618
42	0.4629519045
43	0.4613722225
44	0.4595366427
45	0.4576403364
46	0.4559740654
47	0.4542522579
48	0.4527565537
49	0.4509405556
50	0.4497697731
51	0.4481250299
52	0.4464588939
53	0.4452466066
54	0.4440156462
55	0.4427441554
56	0.4416763338
57	0.440505343
58	0.4394232952
59	0.4381816938
60	0.4371241639
61	0.4365145179
62	0.4353284431
63	0.4342922064
64	0.4334106423
65	0.4325899539
66	0.4316736281
67	0.4305852702
68	0.4301708225
69	0.4293172542
70	0.4284324535
71	0.4273987871
72	0.426605206
73	0.425872314
74	0.4254978856
75	0.4248443137
76	0.4241627763
77	0.4231675359
78	0.4224966248
79	0.4216618995
80	0.4213658121
81	0.4207101928
82	0.4200473841
83	0.4195650843
84	0.418950394
85	0.4184378615
86	0.417919821
87	0.4173280436
88	0.416723247
89	0.415955598
90	0.4152888192
91	0.4146785537
92	0.414295227
93	0.4136874127
94	0.413312119
95	0.4130545831
96	0.4127580441
97	0.4122330791
98	0.4115475188
99	0.4110100193
100	0.4106865804
101	0.4101727641
102	0.4097498145
103	0.4094131802
104	0.4089708216
105	0.4086117196
106	0.4082097074
107	0.4078345508
108	0.4073334473
109	0.4068133619
110	0.4065102393
111	0.4060755004
112	0.4055917141
113	0.4052242551
114	0.4047920687
115	0.4044574211
116	0.4041129926
117	0.4036592044
118	0.4031288483
119	0.402803963
120	0.4023022038
121	0.40199521
122	0.4016272721
123	0.4012786829
124	0.4010558067
125	0.4007836171
126	0.4003099135
127	0.4000628213
128	0.399903677
129	0.3996636729
130	0.3993669164
131	0.3992563308
132	0.3989275835
133	0.3987221658
134	0.3984684814
135	0.3982108762
136	0.3979909535
137	0.3977483081
138	0.3974993298
139	0.3970409261
140	0.3967515509
141	0.3965704078
142	0.3963006135
143	0.3960031766
144	0.3957956098
145	0.3954935915
146	0.3953237839
147	0.3950999447
148	0.3948242568
149	0.3946188347
150	0.3945749372
151	0.3943026053
152	0.3941243715
153	0.3938628564
154	0.3938443958
155	0.3936493498
156	0.3933708388
157	0.393318185
158	0.3928757355
159	0.3926926941
160	0.3925383679
161	0.3923221508
162	0.392142598
163	0.3919169379
164	0.3917544813
165	0.3915379037
166	0.3913930248
167	0.3912082511
168	0.3908971473
169	0.3907760998
170	0.3905277936
171	0.3903315693
172	0.3901323507
173	0.3900846943
174	0.3897235355
175	0.3895498332
176	0.3894903494
177	0.3892209864
178	0.3889989473
179	0.3887494279
180	0.3885044858
181	0.3883412678
182	0.3881919187
183	0.3880221813
184	0.3878583884
185	0.3877963817
186	0.38761386
187	0.3874684054
188	0.3872806261
189	0.3871137464
190	0.3869851034
191	0.386791346
192	0.3866487747
193	0.3864496024
194	0.3863982345
195	0.3862355495
196	0.3859111475
197	0.3856894643
198	0.3856609463
199	0.3855124948
200	0.3854045418
201	0.3851533735
202	0.3849014178
203	0.3848090254
204	0.3846960436
205	0.3845955241
206	0.3843166683
207	0.3839885713
208	0.3838696279
209	0.3837507075
210	0.3836547037
211	0.3835848456
212	0.38347847
213	0.3832802572
214	0.3830757048
215	0.382937759
216	0.3827977156
217	0.3825280948
218	0.382432353
219	0.382180745
220	0.3818652953
221	0.3817692418
222	0.3816440854
223	0.381576046
224	0.3814905715
225	0.3813030767
226	0.3811781169
227	0.3810015771
228	0.3808950292
229	0.3806917073
230	0.3805299583
231	0.3803838843
232	0.3802979046
233	0.3802147842
234	0.3801114856
235	0.379982938
236	0.3798696155
237	0.379667059
238	0.3794458119
239	0.379331291
240	0.379186325
241	0.3790683905
242	0.3789226591
243	0.3787942298
244	0.3786853815
245	0.3784607026
246	0.3783877396
247	0.3783072521
248	0.3782364396
249	0.3780830113
250	0.3779620656
251	0.3778785382
252	0.377794997
253	0.3776786459
254	0.3775445626
255	0.3774061952
256	0.3771966622
257	0.3770532144
258	0.3769710254
259	0.3768131723
260	0.3765400693
261	0.3764161621
262	0.376345262
263	0.376182049
264	0.3759644485
265	0.3758921152
266	0.3757080725
267	0.3755913083
268	0.3754224282
269	0.3752503531
270	0.3751833788
271	0.3750457304
272	0.3749456175
273	0.3748576218
274	0.3748206427
275	0.3747160103
276	0.3746263337
277	0.3744004798
278	0.3741626496
279	0.374085626
280	0.373968356
281	0.3738437141
282	0.3737677814
283	0.3735574509
284	0.3734653713
285	0.3733658832
286	0.3732439787
287	0.3731111353
288	0.3729510037
289	0.3728658524
290	0.372820198
291	0.3727328643
292	0.37257555
