iter	Passed	Remaining
0	113	113778
1	118	59081
2	122	40844
3	126	31521
4	131	26119
5	134	22267
6	140	19925
7	144	17868
8	149	16491
9	153	15152
10	156	14081
11	160	13191
12	162	12363
13	166	11723
14	171	11234
15	174	10738
16	180	10412
17	183	10037
18	189	9762
19	192	9441
20	199	9316
21	204	9072
22	207	8819
23	211	8596
24	216	8436
25	219	8222
26	223	8045
27	226	7879
28	231	7736
29	235	7615
30	239	7477
31	243	7379
32	249	7307
33	252	7187
34	257	7097
35	261	6989
36	265	6919
37	269	6833
38	274	6758
39	279	6699
40	284	6655
41	288	6570
42	291	6487
43	295	6426
44	300	6387
45	305	6335
46	310	6302
47	314	6234
48	318	6190
49	323	6144
50	327	6086
51	331	6043
52	334	5974
53	338	5930
54	344	5926
55	350	5904
56	353	5854
57	357	5808
58	363	5792
59	368	5765
60	372	5739
61	377	5718
62	381	5681
63	385	5637
64	390	5618
65	395	5593
66	400	5573
67	406	5572
68	411	5547
69	416	5533
70	420	5501
71	426	5493
72	430	5460
73	435	5452
74	440	5429
75	443	5386
76	447	5360
77	451	5336
78	455	5304
79	460	5299
80	465	5281
81	470	5267
82	474	5236
83	477	5207
84	480	5172
85	485	5154
86	488	5126
87	492	5108
88	500	5125
89	504	5103
90	509	5094
91	514	5082
92	518	5057
93	523	5048
94	528	5030
95	532	5013
96	537	5002
97	544	5009
98	549	5004
99	554	4992
100	558	4973
101	562	4954
102	567	4940
103	571	4922
104	575	4907
105	580	4892
106	584	4875
107	587	4855
108	592	4841
109	597	4832
110	601	4814
111	606	4805
112	610	4791
113	617	4798
114	621	4781
115	625	4764
116	628	4746
117	634	4739
118	640	4738
119	644	4728
120	649	4715
121	651	4689
122	655	4671
123	659	4661
124	664	4650
125	668	4637
126	673	4629
127	677	4617
128	683	4614
129	687	4603
130	692	4592
131	696	4577
132	700	4569
133	705	4558
134	710	4554
135	717	4556
136	721	4545
137	725	4532
138	730	4522
139	736	4526
140	743	4532
141	748	4523
142	753	4512
143	758	4507
144	762	4496
145	766	4482
146	770	4468
147	773	4455
148	779	4453
149	785	4450
150	790	4441
151	793	4428
152	798	4421
153	805	4423
154	809	4411
155	813	4403
156	820	4405
157	824	4395
158	828	4380
159	831	4366
160	836	4358
161	841	4352
162	845	4340
163	848	4327
164	852	4316
165	857	4310
166	862	4300
167	866	4292
168	870	4279
169	874	4269
170	878	4260
171	882	4248
172	886	4236
173	890	4226
174	893	4212
175	897	4200
176	900	4188
177	905	4181
178	910	4174
179	914	4167
180	920	4166
181	925	4158
182	930	4152
183	933	4141
184	939	4136
185	942	4125
186	947	4117
187	951	4111
188	959	4116
189	964	4109
190	968	4100
191	974	4101
192	981	4105
193	985	4096
194	989	4084
195	993	4076
196	998	4068
197	1003	4063
198	1008	4059
199	1012	4049
200	1015	4038
201	1020	4032
202	1025	4025
203	1030	4021
204	1034	4011
205	1039	4006
206	1043	3995
207	1046	3985
208	1050	3974
209	1053	3964
210	1058	3956
211	1061	3946
212	1066	3942
213	1071	3934
214	1075	3927
215	1079	3919
216	1083	3911
217	1088	3905
218	1092	3896
219	1097	3890
220	1102	3887
221	1106	3877
222	1110	3868
223	1114	3861
224	1118	3851
225	1123	3847
226	1127	3838
227	1131	3832
228	1133	3816
229	1137	3806
230	1141	3799
231	1145	3790
232	1149	3785
233	1151	3769
234	1155	3760
235	1158	3750
236	1162	3744
237	1167	3736
238	1171	3729
239	1175	3721
240	1179	3714
241	1183	3708
242	1190	3710
243	1198	3712
244	1203	3707
245	1207	3702
246	1211	3694
247	1215	3686
248	1219	3678
249	1223	3670
250	1229	3668
251	1234	3664
252	1238	3658
253	1242	3649
254	1247	3643
255	1251	3637
256	1255	3629
257	1259	3623
258	1265	3619
259	1269	3613
260	1273	3606
261	1277	3597
262	1280	3587
263	1284	3581
264	1288	3573
265	1292	3566
266	1296	3560
267	1301	3554
268	1304	3545
269	1309	3540
270	1313	3532
271	1317	3525
272	1322	3521
273	1327	3516
274	1331	3509
275	1335	3502
276	1343	3506
277	1347	3499
278	1351	3493
279	1357	3490
280	1361	3484
281	1364	3473
282	1368	3468
283	1371	3457
284	1376	3453
285	1380	3446
286	1384	3440
287	1389	3435
288	1394	3430
289	1398	3422
290	1402	3417
291	1407	3411
292	1410	3403
293	1414	3397
294	1419	3391
295	1423	3385
296	1427	3379
297	1431	3371
298	1434	3364
299	1441	3362
300	1446	3358
301	1450	3351
302	1457	3353
303	1464	3353
304	1469	3347
305	1473	3342
306	1480	3341
307	1484	3334
308	1487	3327
309	1491	3319
310	1495	3314
311	1500	3309
312	1505	3304
313	1510	3300
314	1517	3299
315	1525	3302
316	1529	3295
317	1535	3292
318	1541	3290
319	1544	3283
320	1549	3277
321	1553	3271
322	1559	3268
323	1564	3264
324	1568	3258
325	1572	3251
326	1577	3246
327	1581	3239
328	1586	3235
329	1592	3232
330	1595	3225
331	1599	3218
332	1604	3213
333	1607	3206
334	1612	3200
335	1617	3197
336	1622	3191
337	1626	3185
338	1630	3178
339	1633	3170
340	1637	3165
341	1643	3162
342	1647	3155
343	1652	3151
344	1655	3143
345	1661	3140
346	1664	3133
347	1668	3125
348	1670	3116
349	1675	3111
350	1680	3106
351	1687	3105
352	1690	3099
353	1694	3091
354	1699	3087
355	1703	3082
356	1707	3076
357	1711	3068
358	1714	3062
359	1718	3055
360	1722	3049
361	1727	3045
362	1731	3038
363	1735	3031
364	1738	3025
365	1742	3018
366	1748	3015
367	1752	3009
368	1760	3010
369	1763	3002
370	1765	2993
371	1768	2985
372	1771	2978
373	1775	2971
374	1778	2964
375	1782	2958
376	1787	2953
377	1791	2947
378	1794	2940
379	1798	2934
380	1801	2927
381	1803	2918
382	1809	2915
383	1814	2910
384	1818	2905
385	1823	2900
386	1827	2894
387	1831	2888
388	1835	2883
389	1840	2878
390	1843	2871
391	1847	2865
392	1853	2862
393	1857	2856
394	1862	2851
395	1865	2845
396	1868	2838
397	1873	2833
398	1877	2827
399	1882	2823
400	1886	2817
401	1891	2813
402	1897	2810
403	1903	2807
404	1909	2805
405	1915	2803
406	1923	2802
407	1928	2797
408	1933	2793
409	1938	2789
410	1944	2787
411	1952	2786
412	1956	2781
413	1962	2777
414	1972	2781
415	1988	2790
416	1992	2785
417	2013	2802
418	2019	2800
419	2022	2793
420	2031	2793
421	2040	2794
422	2046	2791
423	2053	2789
424	2057	2783
425	2065	2783
426	2076	2786
427	2081	2781
428	2086	2777
429	2093	2774
430	2102	2775
431	2106	2770
432	2114	2768
433	2119	2763
434	2124	2759
435	2128	2753
436	2133	2749
437	2138	2743
438	2142	2738
439	2147	2733
440	2152	2728
441	2159	2726
442	2163	2720
443	2168	2715
444	2174	2711
445	2180	2708
446	2184	2702
447	2188	2696
448	2192	2691
449	2197	2685
450	2200	2679
451	2204	2673
452	22453	2202453	2214	2663
454	22455	2215455	22456	2220456	22457	2224457	22458	2229458	22459	2233459	2244	2635
460	22461	2241461	2253	2624
462	2260	2621
463	2263	2615
464	2268	2609
465	2273	2604
466	2281	2604
467	2286	2598
468	2289	2592
469	2294	2587
470	2298	2581
471	2302	2575
472	2306	2569
473	2309	2563
474	2314	2557
475	2318	2551
476	2321	2545
477	2327	2541
478	2332	2537
479	2337	2532
480	2342	2527
481	2347	2522
482	2352	2517
483	2356	2512
484	2360	2506
485	2363	2499
486	2369	2495
487	2373	2489
488	2376	2483
489	2380	2477
490	2384	2471
491	2388	2465
492	2392	2460
493	2396	2454
494	2400	2448
495	2402	2441
496	2407	2436
497	2411	2430
498	2414	2424
499	2418	2418
500	2422	2412
501	2426	2406
502	2430	2401
503	2433	2394
504	2437	2388
505	2440	2382
506	2444	2376
507	2448	2371
508	2451	2364
509	2455	2359
